-3.7	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
-30.1	1.1
1	1.1
0.6	1.1
0.8	1.1
1	1.1
-0.8	1.1
-1.1	1.1
0.9	1.1
-0.2	1.1
1	1.1
-2.8	1.1
0.9	1.1
0.5	1.1
1	1.1
-5.4	1.1
1	1.1
1	1.1
1	1.1
-1.1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.6	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
0.2	1.1
1	1.1
0.8	1.1
0.5	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1.11022302463e-16	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
-0.1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.7	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.4	1.1
0.5	1.1
1	1.1
-12.1	1.1
0.5	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.2	1.1
1	1.1
1	1.1
-1.9	1.1
0.3	1.1
0.8	1.1
0.7	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.6	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.5	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.1	1.1
0.9	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.7	1.1
1	1.1
0.7	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.7	1.1
0.7	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
0.7	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
-0.5	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.6	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
1	1.1
-1.5	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
0.7	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.6	1.1
0.8	1.1
0.8	1.1
0.7	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.6	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.2	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.5	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.7	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.1	1.1
1	1.1
0.7	1.1
1.11022302463e-16	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.4	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
0.7	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.4	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
0.8	1.1
1	1.1
0.6	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.8	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.7	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
0.7	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.7	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.7	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.7	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.7	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
0.6	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.7	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.7	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
0.7	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.7	1.1
1	1.1
0.7	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.7	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.7	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
0.8	1.1
1	1.1
0.7	1.1
0.8	1.1
0.7	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.7	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.4	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.7	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.7	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.7	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.7	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
0.8	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.8	1.1
1	1.1
0.7	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.7	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
0.9	1.1
0.7	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
1	1.1
0.8	1.1
0.8	1.1
1	1.1
0.8	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.8	1.1
0.9	1.1
0.7	1.1
1	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
1	1.1
0.9	1.1
0.9	1.1
0.9	1.1
1	1.1
0.8	1.1
0.9	1.1
1	1.1
0.9	1.1
0.9	1.1
1	1.1
0.7	1.1
0.9	1.1
0.9	1.1
0.8	1.1
0.7	1.1
1	1.1
1	1.1
1	1.1
